Title,Author,Subject,Source,Type,Publication Date,Link,License,Description
Entrepreneurship and Innovation Toolkit,"Lee A. Swanson, University of Saskatchewan",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=8e676f38-cdc5-4f8c-8093-65591c2ac935&contributor=&keyword=&subject=,Attribution-ShareAlike,"This book provides an overview of the world of entrepreneurship. Topics covered include an introduction to entrepreneurship; opportunity recognition and design thinking; evaluation entrepreneurial opportunities; business models; business planning; financing entrepreneurship; business set-up, start-up, and growth; strategic entrepreneurship; innovation and entrepreneurship; and the entrepreneurial environment."
Introductory Chemistry - 1st Canadian Edition,"Jessie A. Key, Vancouver Island University, David W Ball, Cleveland State University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=c7025f6b-f32b-4d0a-865e-f473d9f98fb6&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"The goal of this textbook is not to make you an expert. True expertise in any field is a years-long endeavor. Here I will survey some of the basic topics of chemistry. This survey should give you enough knowledge to appreciate the impact of chemistry in everyday life and, if necessary, prepare you for additional instruction in chemistry. Throughout each chapter, I present two features that reinforce the theme of the textbook—that chemistry is all around you. The first is a feature titled, appropriately, “Chemistry Is Everywhere.” Chemistry Is Everywhere” focuses on the personal hygiene products that you may use every morning: toothpaste, soap, and shampoo, among others. These products are chemicals, aren’t they? Ever wonder about the chemical reactions that they undergo to give you clean and healthy teeth or shiny hair? I will explore some of these chemical reactions in future chapters. But this feature makes it clear that chemistry is, indeed, everywhere. The other feature focuses on chemistry that you likely indulge in every day: eating and drinking. In the “Food and Drink App,” I discuss how the chemistry of the chapter applies to things that you eat and drink every day. Carbonated beverages depend on the behavior of gases, foods contain acids and bases, and we actually eat certain rocks. (Can you guess which rocks without looking ahead?) Cooking, eating, drinking, and metabolism—we are involved with all these chemical processes all the time. These two features allow us to see the things we interact with every day in a new light—as chemistry."
Line A - Safe Work Practices Competency A-4: Describe Personal Safety Practices,Camosun College,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=52ef105c-2889-4332-b47f-09c513dd140f&contributor=&keyword=&subject=,Attribution,"These Learning Tasks describe the clothing and protective equipment workers must wear on the job site and the safety precautions they must take to protect themselves and others from injury. Special personal protective equipment (PPE) is required on the job site. The equipment used will depend on the hazards anticipated. When working at elevations, significant hazards are present and fall protection is normally required. Knowing the hazards allows workers to select methods to reduce the hazard and prevent injury. Workers often lift and move heavy and awkward objects. Failure to follow proper lifting procedures can cause serious and permanent back damage.

The following list of lines and competencies was generated with the goal of creating an entry-level trades training resource, while still offering the flexibility for lines to be used as stand-alone books. Line A Books include: A-1 Control Workplace Hazards, A-2 Describe WorkSafeBC Regulations, A-3 Handle Hazardous Materials Safely, A-4 Describe Personal Safety Practices, A-5 Describe Fire Safety.

Special thanks to CAPER-BC (https://caperbc.ca/) for creating the audio recording of Competency A-4."
Line A - Safe Work Practices Competency A-2: Describe WorkSafeBC Regulations,Camosun College,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=028204e5-17fb-4165-a364-52f04ad67d4a&contributor=&keyword=&subject=,Attribution,"In most provinces, one or more agencies are responsible for safe, healthful working environments at job sites. These organizations normally have names such as the Workers’ Compensation Board (WCB) or the Occupational Health and Safety Department. WorkSafeBC is the provincial organization that promotes workplace health and safety for workers and employers in BC. When a work-related injury, disease, or death occurs, WorkSafeBC collaborates with those involved to provide return-to-work rehabilitation, health-care benefits, compensation, and a range of other services. WorkSafeBC also consults with and educates employers and workers on safe work practices. This includes monitoring workplaces within its jurisdiction.

The following list of lines and competencies was generated with the goal of creating an entry-level trades training resource, while still offering the flexibility for lines to be used as stand-alone books. Line A Books include: A-1 Control Workplace Hazards, A-2 Describe WorkSafeBC Regulations, A-3 Handle Hazardous Materials Safely, A-4 Describe Personal Safety Practices, A-5 Describe Fire Safety.
Special thanks to CAPER-BC (https://caperbc.ca/) for creating the audio recording for each Competency."
Line A - Safe Work Practices Competency A-1: Control Workplace Hazards,Camosun College,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=e85297b6-1165-40cd-bc96-cbb172af3e4d&contributor=&keyword=&subject=,Attribution,"Safety is a part of the job. When you take a job, you have a safety obligation to your employer, co-workers, family, and yourself. By recognizing and understanding the hazards in your work area, you can prevent the occurrence of many accidents. Most accidents are preventable. Both employees and employers must take responsibility for making the workplace safe.

The following list of lines and competencies was generated with the goal of creating an entry-level trades training resource, while still offering the flexibility for lines to be used as stand-alone books. Line A Books include: A-1 Control Workplace Hazards, A-2 Describe WorkSafeBC Regulations, A-3 Handle Hazardous Materials Safely, A-4 Describe Personal Safety Practices, A-5 Describe Fire Safety.

Special thanks to CAPER-BC (https://caperbc.ca/) for creating the audio recording for each Competency."
"Engineering Systems Dynamics Modelling, Simulation, and Design","Mehrzad Tabatabaian, British Columbia Institute of Technology",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=7c5f1a4d-6af1-4368-a499-451ca4dba2db&contributor=&keyword=&subject=,Attribution-NonCommercial,"This open educational resource presents effective system modelling methods, including Lagrangian and bond graph, and the application of a relevant engineering software tool, 20-sim. The content is designed for engineering students and professionals in the field to support their understanding and application of these methods for modelling, simulation, and design of engineering systems. The text also includes videos showing selected worked-out examples."
Clinical Procedures for Safer Patient Care,"Glynda Rees Doyle, British Columbia Institute of Technology, Jodie Anita McCutcheon, British Columbia Institute of Technology",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=fbbb4840-eda5-4265-9f1c-d6d8008402a9&contributor=&keyword=&subject=,Attribution,"This open educational resource (OER) was developed to ensure best practice and quality care based on the latest evidence, and to address inconsistencies in how clinical health care skills are taught and practised in the clinical setting. The checklist approach, used in this textbook, aims to provide standardized processes for clinical skills and to help nursing schools and clinical practice partners keep procedural practice current. Each skill/procedure is covered in a chapter that has learning objectives, a brief overview of the relevant theory, checklists of steps for procedures with the rationale behind each step of the process, and a summary of key takeaways. Key terms are set in bold throughout the book and laid out again in a Glossary in the appendix. All 88 checklists are also summarized, and hyperlinked to the original checklist, in the appendix."
Writing for Success,Scott McLean,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=be97a141-078a-46e4-a66b-e287b2b25c98&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"Writing for Success is a text that provides instruction in steps, builds writing, reading, and critical thinking, and combines comprehensive grammar review with an introduction to paragraph writing and composition.

Beginning with the sentence and its essential elements, this book addresses each concept with clear, concise and effective examples that are immediately reinforced with exercises and opportunities to demonstrate, and reinforce, learning.

Each chapter allows your students to demonstrate mastery of the principles of quality writing. With its incremental approach, it can address a range of writing levels and abilities, helping each student in your course prepare for their next writing or university course."
A Guide to Making Open Textbooks with Students,"Elizabeth Mays (Editor), Robin DeRosa, Rajiv Jhangiani, Timothy Robbins, David Squires, Julie Ward, Anna Andrzejewski, Samara Burns, Matthew Moore",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=f93fbf46-4f6f-44f2-87bd-c7bbc8d28d6a&contributor=&keyword=&subject=,Attribution,"A handbook for faculty interested in practicing open pedagogy by involving students in the making of open textbooks, ancillary materials, or other Open Educational Resources. This guide aims to both inspire and equip more faculty to follow in these open pedagogy pioneers’ tracks in making open textbooks with students. This is a first edition, compiled by Rebus Community, and we welcome feedback and ideas to expand the text."
Antología Abierta de Literatura Hispana,Julie Anne Ward (ed.),N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=17e2b614-b203-4491-8f39-9740eb171497&contributor=&keyword=&subject=,Attribution,Una antología crítica de textos literarios del mundo hispanohablante. Se enfoca en autores canónicos y también se intenta incluir voces marginadas. Cada texto tiene una introducción y anotaciones creadas por estudiantes. // A critical anthology of literary texts from the Spanish-speaking world. A focus on canonical authors and an attempt to include voices that have been marginalized. Each text includes an introduction and annotations created by students.
Literature Reviews for Education and Nursing Graduate Students,"Linda Frederiksen, Sue F. Phelps; Washington State University Vancouver",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=8af49997-4d25-43fe-b6fa-8ab09f3ca64f&contributor=&keyword=&subject=,Attribution,"Literature Reviews for Education and Nursing Graduate Students is an open textbook designed for students in graduate-level nursing and education programs. Its intent is to recognize the significant role the literature review plays in the research process and to prepare students for the work that goes into writing one. Developed for new graduate students and novice researchers just entering into the work of a chosen discipline, each of the eight chapters covers a component of the literature review process. Students will learn how to form a research question, search existing literature, synthesize results and write the review. The book contains examples, checklists, supplementary materials, and additional resources. Literature Reviews for Education and Nursing Graduate Students is written by two librarians with expertise guiding students through research and writing assignments,"
Blueprint for Success in College and Career,"Dave Dillon, Grossmont College",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=fcb50fcc-ffe1-4c34-b096-54cecdac0756&contributor=&keyword=&subject=,Attribution,"Blueprint for Success in College and Career is a students’ guide for classroom and career success. This text, designed to show how to be successful in college and in career preparation focuses on study skills, time management, career exploration, health, and financial literacy. This book is a remix of four previously existing OER (Open Educational Resources): A Different Road To College: A Guide For Transitioning To College For Non-traditional Students by Alise Lamoreaux, How to Learn Like a Pro! by Phyllis Nissila, Foundations of Academic Success: Words of Wisdom, edited by Thomas Priester, College Success, provided by Lumen Learning, and one previously copyrighted textbook with content that is now openly licensed: Blueprint for Success in College: Indispensable Study Skills and Time Management Strategies by Dave Dillon. 

The Blueprint for Success series comprises three books for the College Success and FYE (First-Year Experience) genre. The central text, Blueprint for Success in College and Career, is designed to show how to be successful in college and in career preparation. In addition, targeted sections on Study Skills and Time Management, and Career and Decision Making are available separately as Blueprint for Success in College: Indispensable Study Skills and Time Management Strategies, and Blueprint for Success in Career Decision Making."
Fundamentals of Business - Canadian Edition,Business Faculty from Ontario Colleges and eCampusOntario Program Managers,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=1590234d-58a6-4841-85f7-53c5c587f2a2&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"An introductory textbook in business that covers a variety of topics: The Foundations of Business, Economics and Business, Ethics and Social Responsibility, Business in a Global Environment, Forms of Business Ownership, Entrepreneurship: Starting a Business, Management and Leadership, Structuring Organizations, Operations Management, Motivating Employees, Managing Human Resources, Union/Management Issues, Marketing: Providing Value, Accounting and Financial Information, and Personal Finances."
Communication for Business Professionals - Canadian Edition,Ontario Business Faculty and eCampusOntario Program Managers,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=d3b69c53-2cff-4863-b51b-abe9c6fc5d06&contributor=&keyword=&subject=,Attribution-ShareAlike,"This books provides a comprehensive, integrated approach to the study and application of written and oral business communication to serve both student and professor. The text includes a number of features such as learning objectives, exercises, real world examples, key terms, and post-chapter assessments.This text is adapted from Business Communication for Success. This 2018 adaptation has significantly reduced the size and scope of the original publication and added Canadian examples. This open textbook is designed in 12 chapters featuring a spectrum of current and relevant Canadian business communication topics."
Financial Strategy for Public Managers,"Sharon Kioko, Justin Marlowe, University of Washington",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=62dea1c4-5563-41c5-bef0-dee84e2cbd19&contributor=&keyword=&subject=,Attribution,"Financial Strategy for Public Managers is a new generation textbook for financial management in the public sector. It offers a thorough, applied, and concise introduction to the essential financial concepts and analytical tools that today’s effective public servants need to know. It starts “at the beginning” and assumes no prior knowledge or experience in financial management. Throughout the text, Kioko and Marlowe emphasize how financial information can and should inform every aspect of public sector strategy, from routine procurement decisions to budget preparation to program design to major new policy initiatives. They draw upon dozens of real-world examples, cases, and applied problems to bring that relationship between information and strategy to life. Unlike other public financial management texts, the authors also integrate foundational principles across the government, non-profit, and “hybrid/for-benefit” sectors. Coverage includes basic principles of accounting and financial reporting, preparing and analyzing financial statements, cost analysis, and the process and politics of budget preparation. The text also includes several large case studies appropriate for class discussion and/or graded assignments."
Professional Web Accessibility Auditing Made Easy,"Digital Education Strategies, The Chang School",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=f557a613-9813-4e65-b62c-b2e8d2215947&contributor=&keyword=&subject=,Attribution-ShareAlike,"gital accessibility skills are in high demand, as the world becomes more aware of barriers in digital content that prevent some people from participating in a digital society. This book will help readers develop the skills and knowledge needed to evaluate websites, web content, and web applications for compliance with international web accessibility requirements. These requirements help ensure that people with disabilities are able to participate fully on the Web. Each chapter includes an activity and self-test."
Digital Accessibility as a Business Practice,"Digital Education Strategies, The Chang School",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=0a272d6e-d5fe-4a51-b20d-e9f6726bb3d3&contributor=&keyword=&subject=,Attribution-ShareAlike,"Most business leaders would agree that reaching the broadest audience is good for a business’s bottom line. A good portion of that audience will be people with disabilities. How, though, would an organization go about ensuring it is as accessible as it can be to all its potential clients or customers, including people with disabilities? This book has been created to answer this question, and to demystify “digital accessibility” as a business practice. It brings together all the pieces of the digital accessibility picture, and provides strategies and resources that will help make digital accessibility a part of an organization’s business culture."
Creating Online Learning Experiences,"Matt Crosslin, et al.; University of Texas at Arlington",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=282bf30f-045b-4402-b14c-f4b06df29245&contributor=&keyword=&subject=,Attribution-NonCommercial,"This book provides an updated look at issues that comprise the online learning experience creation process. As online learning evolves, the lines and distinctions between various classifications of courses has blurred and often vanished. Classic elements of instructional design remain relevant at the same time that newer concepts of learning experience are growing in importance. However, problematic issues new and old still have to be addressed. This handbook explores many of these topics for new and experienced designers alike, whether creating traditional online courses, open learning experiences, or anything in between."
Understanding Document Accessibility,"Digital Education Strategies, The Chang School",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=c0966edc-3d38-47ba-b0d6-8734c3cab260&contributor=&keyword=&subject=,Attribution-ShareAlike,"With much of the world gone digital, learning to create documents that are accessible to everyone is becoming a necessary skill. Intended for a general audience, this free resource reviews a wide range of document authoring applications, including the tools they contain for creating accessible documents, and tests them to ensure they do not contain potential barriers. Learn how to create accessible word processed documents, spreadsheets, presentation slides, and PDF documents, among others, so they are accessible to everyone."
World Regional Geography,"Caitlin Finlayson,  University of Mary Washington",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=3b660b21-097e-4ecf-8a8e-56f4a43d6a6f&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"World Regional Geography presents an overview of the discipline by introducing students to key themes and concepts in the
discipline of geography through a study of the world’s regions. This text approaches geography as experts understand the discipline, focusing on connections and an in-depth understanding of core themes. This thematic approach, informed by pedagogical research, provides students with an introduction to thinking geographically. This text emphasizes depth over breadth by arranging each chapter around a central theme and then exploring that theme in detail as it applies to the particular region. In addition, while chapters are designed to stand alone and be rearranged or eliminated at the instructor’s discretion, the theme of globalization and inequality unites all of the regions discussed. This core focus enables students to draw connections between regions and to better understand the interconnectedness of our world. This text was written with the backward course design model in mind and the content of each chapter was structured around these learning objectives. Because of this backward design focus, the length of each chapter is considerably shorter than most traditional textbooks. The intention is for the instructor to supplement the text with problems, case studies, and news articles and to use the text as a springboard for discussing deeper issues."
"ECHO: Ethnographic, Cultural and Historical Overview of Yukon's First Peoples","Victoria Elena Castillo, Christine Schreyer, Tosh Southwick",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=cb8200e7-1d31-4bc6-b34f-5d52ddd3a484&contributor=&keyword=&subject=,Attribution-NonCommercial-NoDerivs,"Today, First Nations peoples living in Yukon, Canada are reviving and practicing their cultural traditions in exciting ways. At the same time, there has been an influx of newcomers to the territory who want to learn more about Yukon's Indigenous peoples and their cultures. With hundreds of references for those wanting to delve deeper into particular topics, ECHO is a handbook that provides the most current research pertaining to Yukon First Nations peoples. Topics include archaeology, ethnology, and lifeways, relationships with newcomers (in the past and currently), the arts, and modern-day land claims. The volume also includes interviews with research collaborators who discuss the importance of community-based research. Castillo, Schreyer, and Southwick's solidly researched handbook serves as an important tool, both for teachers and students, seeking accurate information pertaining to the Indigenous cultures of Yukon."
Cellular Internet of Things for Practitioners,"Reza Vahidnia, BCIT, F. John Dian, BCIT",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=79e8d3ca-ec73-4439-8284-247bf9530644&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,This book describes the simplified architecture of an IoT network from the core functional perspective and then presents step-by-step procedures to establish a connection between the IoT device and platform. It practically shows how to connect a cellular IoT module to the Microsoft Azure IoT Hub using the LTE-M technology.
Workplace Safety in the Food Service Industry,"The BC Cook Articulation Committee, go2HR",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=8e16635e-8041-4986-8872-f16cce8d3781&contributor=&keyword=&subject=,Attribution,"Workplace Safety in the Food Service Industry is one of a series of Culinary Arts books developed to support the training of students and apprentices in BC’s foodservice and hospitality industry.

Your health and well-being are your most valuable possessions. Many laws and regulations exist to ensure employee safety, yet every year thousands of serious injuries occur. In many cases, these injuries have serious long-term consequences for both employees and employers. For those new to the workforce, or working in the foodservice industry for the first time, having a solid understanding of both the rights and responsibilities of the employer and employee and training in how to operate safely in the workplace are the keys to minimizing the risk of a workplace injury."
Working in the Food Service Industry,"The BC Cook Articulation Committee,  go2HR",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=9e64cb26-2a96-4370-8c38-5945fe1ca74a&contributor=&keyword=&subject=,Attribution,"Workplace Safety in the Foodservice Industry is one of a series of Culinary Arts open textbooks developed to support the training of students and apprentices in British Columbia’s foodservice and hospitality industry. Although created with the Professional Cook, Baker and Meatcutter programs in mind, these have been designed as a modular series, and therefore can be used to support a wide variety of programs that offer training in foodservice skills.

Workplace Safety covers British Columbia legislation and regulations for workplace safety, as well as an overview of general safety practices in commercial kitchens and other workplaces in the foodservice industry.

Other books in the series include:

    Food Safety, Sanitation, and Personal Hygiene
    Working in the Food Service Industry
    Basic Kitchen and Food Service Management
    Meat Cutting and Processing
    Human Resources in the Food Service and Hospitality Industry
    Understanding Ingredients for the Canadian Baker
    Nutrition and Labelling for the Canadian Baker
    Modern Pastry and Plated Dessert Techniques"
Web Accessibility for Developers,"Digital Education Strategies, The Chang School",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=d5e4a06c-f83a-4bb2-a875-967edb776c6c&contributor=&keyword=&subject=,Attribution-ShareAlike,"Web Accessibility for Developers is a technical book aimed primarily at programmers. Learn how to develop accessible interactivity on the Web and gain expertise using WAI-ARIA, a W3C specification that enables optimal use of assistive technologies, like screen readers, when navigating the Web."
Vital Sign Measurement Across the Lifespan – 2nd Canadian Edition,"Jennifer L. Lapum, Margaret Verkuyl, Wendy Garcia, et al.; Ryerson University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=66f4df30-f29d-4cb6-86eb-b9d6ebb3a43c&contributor=&keyword=&subject=,Attribution,"The purpose of this textbook is to help learners develop best practices in vital sign measurement. Its intended audience is students in health-related post-secondary programs as well as healthcare providers. Using a multi-media and interactive approach, it will provide opportunities to read about, observe, practice, and test vital sign measurement. This 2nd Canadian Edition includes over 120 H5P activities."
"University 101: Study, Strategize, and Succeed",Kwantlen Polytechnic University Learning Centres,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=3aeb1f00-6952-41a9-bb3b-22448e02c923&contributor=&keyword=&subject=,Attribution-ShareAlike,"University 101: Study, Strategize, and Succeed helps students to create a foundation for post-secondary studies by learning how to learn. By taking the time to read this book and work through the exercises included, students are investing in the skills that will support them in all of their classes and future learning. Successful students share a set of skills and habits in common. The good news is that these skills are not a secret; anyone can learn the skills that support successful learning. By taking some time to learn proven study strategies, students will be able to reach their learning goals, and avoid the pitfalls that can take them off-track."
Understanding Ingredients for the Canadian Baker,"The BC Cook Articulation Committee, go2HR",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=168f1166-adcd-4498-b9a1-950ae74281d7&contributor=&keyword=&subject=,Attribution,"This book is intended to give students a basic understanding of the various types and uses of ingredients used in the baking industry, and how certain ingredients, in particular grains and flours are produced, graded and processed in Canada.

Understanding Ingredients for the Canadian Baker is one of a series of Culinary Arts books developed to support the training of students and apprentices in British Columbia’s food service and hospitality industry. Although created with the Professional Cook and Baker programs in mind, these have been designed as a modular series, and therefore can be used to support a wide variety of programs that offer training in food service skills.

Other books in the series include:

    Food Safety, Sanitation, and Personal Hygiene
    Working in the Food Service Industry
    Workplace Safety in the Food Service Industry
    Meat Cutting and Processing
    Human Resources in the Food Service and Hospitality Industry
    Nutrition and Labelling for the Canadian Baker
    Basic Kitchen and Food Service Management

The series has been developed collaboratively with participation from public and private post-secondary institutions."
Trigonometry and Single Phase AC Generation for Electricians,"Chad Flinn, BCIT",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=789233f6-57b7-4c05-b06b-9cde8314d1ef&contributor=&keyword=&subject=,Attribution,"To understand electrical theory, it is important to have a grasp of trigonometry. Whether we are talking about single phase or polyphase power, trigonometry is a key concept. This textbook, divided into three sections and provides easy-to-understand and enjoyable lessons on trigonometry, vectors, and AC generation for those training and working as electricians."
The Originals: Classic Readings in Western Philosophy,"Edited by Jeff McLaughlin, Thompson Rivers University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=37d3b486-45ef-4e38-a764-a69707a53a55&contributor=&keyword=&subject=,Attribution,"It is important for students not only to get an appreciation and understanding of philosophy but also to be exposed to the very words and ideas of those who have shaped our thinking over the centuries. Accordingly, the title of this collection hints at the facts that these readings are from the original sources and that these philosophers were the originators of many of the issues we still discuss today. Major areas of philosophy covered here are: Ethics, Epistemology, Metaphysics, Philosophy of Religion, Ethics, Socio-Political Philosophy, and finally, Aesthetics."
Supporting Individuals with Intellectual Disabilities & Mental Illness,"Sherri Melrose, Debra Dusome, John Simpson, Cheryl Crocker, Elizabeth Athens",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=5872a030-f5d9-4ea3-a9d2-696a99c005dc&contributor=&keyword=&subject=,Attribution,"This multidisciplinary resource develops topics of interest to all those who care about and for individuals with co-occurring intellectual disabilities and mental illness. Each chapter presents current evidence informed practice knowledge. Each topic is also presented with audio enabled text boxes emphasizing 'Key Points for Caregivers.' For those who are interested in background knowledge, we provided the comprehensive literature base. And, for those interested mainly in 'what to do,' we provided text box summaries for reading and listening"
Sim Labs for Thermodynamics and Thermal Power Plant Simulator,"Serhat Beyenir, Sanja Boskovic; British Columbia Institute of Technology",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=4aac09e1-06dc-4a3b-a8dd-051de90bc216&contributor=&keyword=&subject=,Attribution,This Simulator laboratory (SIMLAB) book was created to provide ancillary resources for Thermodynamics and Thermal Power Plant Simulator courses. It is intended to act as a collection of exercises to help our students merge the theory covered in the classroom with the practice performed in the labs.
Sight-Reading for Guitar,"Chelsea Green, The American University in Cairo",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=d5cc0da0-2ac4-468c-a9e7-e2fed0b3e92e&contributor=&keyword=&subject=,Attribution,"This book teaches guitar players from all musical backgrounds to understand, read and play modern staff notation in real time. The Keep Going Method is designed to impart the knowledge, skills and attitudes needed for sight-reading with efficiency, fun and encouragement."
Pulling Together: A Guide for Curriculum Developers,"Asma-na-hi Antoine, Rachel Mason, Roberta Mason, Sophia Palahicky, Carmen Rodriguez de France",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=7a17c024-98f0-4172-9995-7f89078e8d56&contributor=&keyword=&subject=,Attribution-NonCommercial,"A Guide for Curriculum Developers is part of an open professional learning series developed for staff across post-secondary institutions in British Columbia. These guides are the result of the Indigenization Project, a collaboration between BCcampus and the Ministry of Advanced Education, Skills and Training. The project was supported by a steering committee of Indigenous education leaders from BC universities, colleges, and institutes, the First Nations Education Steering Committee, the Indigenous Adult and Higher Learning Association, and Métis Nation BC. These guides are intended to support the systemic change occurring across post-secondary institutions through Indigenization, decolonization, and reconciliation."
Psychology: The Science of Human Potential,"Jeffrey Levy, Seton Hall University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=f247d811-1e7c-4659-bd1d-049fc71d4190&contributor=&keyword=&subject=,Attribution,"Psychology: The Science of Human Potential is designed to be a concise, cohesive introduction to psychology textbook. The first chapter provides an overview of the textbook and reviews the history of psychology and its methodology. Psychology is described as a science studying how hereditary (nature) and experiential (nurture) variables interact to influence the thoughts, feelings, and behaviour of individuals. The remainder of the text is organized into sections entitled “Mostly Nature” (biological psychology; sensation and perception; motivation and emotion), “Mostly Nurture” (direct learning; indirect or observational learning; cognition), and “Nature/Nurture” (human potential, with regard to each of human development, personality, social psychology, maladaptive behaviour, and professional psychology). Includes H5P review exercises at the end of each chapter."
Presentation Software,ABT Collaborative,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=3e02a9ec-9c78-40fe-b358-b5f82aca9c81&contributor=&keyword=&subject=,Attribution,An introduction to creating electronic presentations using Microsoft PowerPoint 2010
Plain Language Best Practices,West Coast Editorial Associates,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=318ecab7-e58a-4569-894a-ca876ff8022c&contributor=&keyword=&subject=,Attribution-NonCommercial,This plain language resource is a model for how British Columbia post-secondary institutions can craft and review their policies on sexualized violence and misconduct.
Introduction to Psychology (University of Saskatchewan),"Jorden A. Cummings,  Lee Sanders; University of Saskatchewan",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=9ee2a150-c41c-4e37-b7e1-142c67d5389d&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"This introductory text has been created from a combination of original content and materials compiled and adapted from a number of open text publications, including Introduction to Psychology – 1st Canadian Edition (Stangor & Wallinga, 2014), the Noba Project, and Research Methods in Psychology – 3rd American Edition (Price, Jhangiani, Chiang, Leighton, & Cuttler, 2017). This version of the text includes a Key Terms list for each chapter, an expanded glossary, and H5P chapter self-tests."
Open Pedagogy in the Trades,"Bruce Neid, Nicki Rehn; Coast Mountain College",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=743fb6db-8437-402f-b2d9-65f893943fe7&contributor=&keyword=&subject=,Attribution,"Open Pedagogy in the Trades: Instructor Resource contains a bank of activities and projects to integrate with your course curriculum and use with your students immediately. All the activities are adaptable to any trade or ITA line item, and most will work for in-person and remote learning modalities. Adopting open pedagogy will lead to more engaged and invested students and richer learning outcomes."
